Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Type,Label
444,119302728,2685,1729,8299,7556917,517,0,3.090875233,16.85842056,17376,0,4370.686524,2566.935004,63411.92802,36.99831575,27034.38205,174625.7584,5024984,0,119000000,44449.50857,222461.7159,5025702,0,119000000,69040.90509,273867.424,5024984,1,0,0,0,0,85928,55336,22.50577204,14.49254371,0,17376,1713.525708,2669.389319,7125639.337,0,0,0,1,0,0,0,0,0,1713.91391,3.090875233,4370.686524,85928,0,0,0,0,0,0,2685,8299,1729,7556917,29200,235,118,32,2217.0,0.0,2217,2217,5024984.0,0.0,5024984,5024984,Heartbleed,1
444,119262215,2792,2110,13712,7878135,5792,0,4.911174785,110.3764478,14480,0,3733.71327,2366.09794,66172.23234,41.10270801,24334.26138,152902.2865,995350,0,119000000,42730.98065,200884.2122,996350,0,119000000,56549.17307,229177.9322,995350,1,0,0,0,0,89356,67520,23.41059991,17.6921081,0,14480,1610.776871,2414.090913,5827834.935,0,0,0,0,1,0,0,0,0,1611.105467,4.911174785,3733.71327,89356,0,0,0,0,0,0,2792,13712,2110,7878135,235,235,120,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed,1
444,119261118,2794,2130,12264,7879536,4344,0,4.38940587,83.21163543,13032,0,3699.312676,2314.906035,66172.44692,41.28755526,24225.29311,152596.5581,995259,0,119000000,42699.91694,200852.4929,996402,0,119000000,56017.42696,228206.6403,995259,1,0,0,0,0,89408,68160,23.42758517,17.85997009,0,13032,1603.27797,2381.909586,5673493.274,0,0,0,0,1,0,0,0,0,1603.603574,4.38940587,3699.312676,89408,0,0,0,0,0,0,2794,12264,2130,7879536,235,235,120,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed,1
444,119260295,2791,2114,13712,7878088,5792,0,4.912934432,110.3961875,13032,0,3726.626301,2284.046514,66172.90356,41.1285248,24318.98348,152794.7907,995259,-1,119000000,42745.53082,200841.3366,997791,0,119000000,56441.21202,228878.5304,995259,1,0,0,0,0,89312,67648,23.40259178,17.72593301,0,13032,1609.782307,2377.954578,5654667.975,0,0,0,0,1,0,0,0,0,1610.110499,4.912934432,3726.626301,89312,0,0,0,0,0,0,2791,13712,2114,7878088,235,235,120,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed,1
444,119297996,2782,2089,9368,7882432,1448,0,3.36736161,30.50502966,17376,0,3773.303973,2372.06653,66151.99135,40.83052661,24496.50842,153244.6799,995302,0,119000000,42897.49874,201057.4173,998229,0,119000000,57135.03448,230051.9919,995302,2,0,0,0,0,89024,66848,23.31975468,17.51077193,0,17376,1620.124795,2427.68666,5893662.519,0,0,0,0,1,0,0,0,0,1620.457401,3.36736161,3773.303973,89024,0,0,0,0,0,0,2782,9368,2089,7882432,235,235,120,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed,1
444,119259886,2782,2091,12264,7879536,4344,0,4.408339324,83.39047044,15928,0,3768.3099,2374.669707,66173.1305,40.86034427,24478.63013,153117.4894,995232,0,119000000,42883.79396,200919.1105,996222,0,119000000,57062.13876,229801.2555,995232,1,0,0,0,0,89024,66912,23.3272066,17.53313767,0,15928,1620.054165,2427.873716,5894570.783,0,0,0,0,1,0,0,0,0,1620.38662,4.408339324,3768.3099,89024,0,0,0,0,0,0,2782,12264,2091,7879536,235,235,120,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed,1
444,119259012,2801,2069,12264,7879536,4344,0,4.378436273,83.10784486,15928,0,3808.378927,2459.369265,66173.61546,40.83548839,24493.53296,153287.5304,995262,0,119000000,42592.48179,200437.9726,996257,0,119000000,57668.76064,231138.5291,995262,2,0,0,0,0,89632,66208,23.48669466,17.34879373,0,15928,1621.05194,2471.802162,6109805.929,0,0,0,0,1,0,0,0,0,1621.384805,4.378436273,3808.378927,89632,0,0,0,0,0,0,2801,12264,2069,7879536,235,235,120,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed,1
444,119257653,2802,2067,20858,7812389,5792,0,7.443968594,126.0458111,13032,0,3779.578616,2380.312566,65683.39057,40.82756853,24498.28533,153803.6224,1995346,-1,119000000,42576.80079,201441.2784,1996118,0,119000000,57723.92982,233324.7174,1995346,1,0,0,0,0,89664,66144,23.49534751,17.33222102,0,13032,1609.658932,2427.561637,5893055.501,0,0,0,0,1,0,0,0,0,1609.989526,7.443968594,3779.578616,89664,0,0,0,0,0,0,2802,20858,2067,7812389,235,349,123,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed,1
444,119299621,2805,2028,13712,7878627,5792,0,4.888413547,110.1207904,17376,0,3884.924556,2524.025452,66155.60832,40.51144471,24689.4911,152728.5209,996008,-1,119000000,42531.96398,199646.5735,996884,0,119000000,58855.25752,232967.1129,996008,1,0,0,0,0,89772,64896,23.51222893,16.99921578,0,17376,1633.870707,2519.708446,6348930.654,0,0,0,0,1,0,0,0,0,1634.208773,4.888413547,3884.924556,89772,0,0,0,0,0,0,2805,13712,2028,7878627,349,349,120,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed,1
444,119296592,2797,2006,13712,7878088,5792,0,4.902395424,110.2779074,13032,0,3927.262213,2443.434007,66152.7699,40.26099924,24843.10537,153403.7113,995988,-1,119000000,42666.8784,200137.5173,996943,0,119000000,59480.76708,234233.8969,995988,1,0,0,0,0,89504,64192,23.44576616,16.81523308,0,13032,1643.961699,2498.976978,6244885.935,0,0,0,0,1,0,0,0,0,1644.303977,4.902395424,3927.262213,89504,0,0,0,0,0,0,2797,13712,2006,7878088,349,349,120,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed,1
